Step,Recording Time,Position From Zero,Counter (Total),Counter (Coincident)
0,1200,-25,36746,38
1,1200,-24,36435,58
2,1200,-23,36349,56
3,1200,-22,36205,65
4,1200,-21,36356,88
5,1200,-20,36071,86
6,1200,-19,36242,97
7,1200,-18,36271,99
8,1200,-17,35573,109
9,1200,-16,35708,135
10,1200,-15,35287,158
11,1200,-14,35627,159
12,1200,-13,35196,187
13,1200,-12,34860,215
14,1200,-11,34776,194
15,1200,-10,34901,233
16,1200,-9,34756,283
17,1200,-8,34928,303
18,1200,-7,34151,267
19,1200,-6,34262,287
20,1200,-5,34468,317
21,1200,-4,34285,323
22,1200,-3,34122,344
23,1200,-2,34392,310
24,1200,-1,34286,335
25,1200,0,33734,321
26,1200,1,33766,314
27,1200,2,33564,288
28,1200,3,33678,300
29,1200,4,33677,281
30,1200,5,33138,261
31,1200,6,33597,228
32,1200,7,33348,216
33,1200,8,33258,180
34,1200,9,33479,183
35,1200,10,33174,149
36,1200,11,33316,127
37,1200,12,33056,122
38,1200,13,33148,120
39,1200,14,33055,97
40,1200,15,33296,80
41,1200,16,32727,84
42,1200,17,32884,62
43,1200,18,32634,62
44,1200,19,32652,49
45,1200,20,32724,46
46,1200,21,32551,37
47,1200,22,32528,43
48,1200,23,32439,26
49,1200,24,32580,22
50,1200,25,32408,27
